|73|,|7047|,|264|,|1150|,|523|,|2880.73|,|2837.52|,|2007-06-14|,|Parcela 01 de 05. referente a OS 001 que contempla Refactoring e Redesign do Website Chevrolet Nova e dos cinco Hotsites de frotistas mantidos pelo grupo (Citiclub. CIMEB. Central do Hoteleiro. Novartis e Unilever).|,|14|,|21|
|74|,|2|,|149|,|425|,|524|,|1700|,|1674.5|,|2007-06-18|,|Parcela referente a manutenção do mês de maio-junho/2007 das funcionalidades existentes no SisconDJ instalado no TJMT|,|0|,|16|
|75|,|7043|,|258|,|1102|,|526|,|7989.34|,|7498|,|2007-06-18|,|Parcela 2 de 2 referente a OS 001 de desenvolvimento e implantação do portal colaborativo da Assurant. UFI (Universo Finance & Insurance).|,|14|,|16|
|76|,|6991|,|126|,|1156|,|0|,|350|,|350|,|2007-06-25|,|upgrade CMS.|,|10|,|0|
|77|,|7046|,|263|,|1147|,|528|,|3650|,|3595.25|,|2007-06-27|,|Parcela 1 de 4 referente a OS 001 de transposição do fonte java do site atual Zion para o novo site desenvolvido pela Click|,|14|,|21|
|78|,|7048|,|270|,|1157|,|0|,|2640|,|2640|,|2007-06-28|,|Parcela 1/10 de Sistemas Web Doup.|,|13|,|0|
|79|,|7049|,|271|,|1167|,|0|,|802.37|,|802.37|,|2007-06-28|,|OS001 Plataforma Moodle -> Upgrade|,|15|,|0|
|80|,|7042|,|272|,|1169|,|0|,|640|,|640|,|2007-06-29|,|desenvolvimento do website Tecnutri - parcela 1/5|,|10|,|0|
|81|,|6983|,|205|,|1170|,|0|,|400|,|400|,|2007-06-29|,|implementações do website Fitoguard|,|5|,|0|
|82|,|7040|,|252|,|1079|,|529|,|2968.02|,|2923.5|,|2007-07-02|,|Parcela 02 de 04. referente a OS 001 que contempla o desenvolvimento e a implantação do SPO - Sistema de Pedidos Online da Compactor.|,|14|,|16|
|83|,|7038|,|256|,|1094|,|530|,|2833.33|,|2790.83|,|2007-07-02|,|consultoria de processos. análise de sistemas e geração de documentos|,|15|,|16|
|84|,|3|,|152|,|1135|,|531|,|1258.88|,|1240|,|2007-07-04|,|Referente a 20 horas de desenvolvimento de upgrade no sistema Fleet Control de MANUTENÇÃO DE DADOS DE ENTRADA / SAÍDA.|,|10|,|16|
|85|,|3|,|175|,|291|,|532|,|10278.1|,|9646|,|2007-07-04|,|Referente a 182 horas do mês de junho de 2007 de alocação do recurso Francisco Ogatha em análise/desenvolvimento de sistemas java.|,|10|,|16|
|86|,|3|,|175|,|859|,|533|,|9035.7|,|8480|,|2007-07-04|,|Referente a 160 horas do mês de junho de 2007 de alocação de recurso java para o desenvolvimento de sistemas para a área de Vendas.|,|10|,|16|
|87|,|4343|,|200|,|1174|,|534|,|3045.69|,|3000|,|2007-07-05|,|Parcela única referente ao desenvolvimento de nova área para sistema SGPF. OS 005 do sistema.|,|10|,|21|
|88|,|7035|,|249|,|1049|,|535|,|3476.14|,|3424|,|2007-07-06|,|Parcela 02 de 02. referente a OS 001 que contempla o desenvolvimento e a implantação do sistema SPO - Sistema de Pedidos OnLine.|,|15|,|16|
|89|,|7043|,|258|,|1177|,|536|,|2199.66|,|2166.67|,|2007-07-09|,|Parcela 1 de 12 referente a OS 002 de hospedagem. manutenção preventiva. corretiva e evolutiva (500 hrs) do Portal UFI.|,|8|,|16|
|90|,|6945|,|173|,|1004|,|537|,|150|,|147.75|,|2007-07-09|,|adaptacao do menu|,|10|,|16|
|92|,|7040|,|252|,|1190|,|539|,|2883.34|,|2568|,|2007-07-10|,|Referente a OS 002 que contempla um upgrade no desenvolvimento e a implantação do SPO - Sistema de Pedidos Online da Compactor.|,|10|,|16|
|93|,|7031|,|247|,|999|,|540|,|6425|,|6029.86|,|2007-07-12|,|Parcela 2 de 2 referente consultoria e desenvolvimento de adequações SisconDJ 2.0 para a Lei Federal 10.819/2003.|,|10|,|16|
|94|,|3|,|175|,|1194|,|541|,|3090.04|,|2900|,|2007-07-12|,|Parcela 1 de 12 referente a OS 001 de suporte. manutenção preventiva. corretiva e evolutiva dos sistemas Toyota (600 hrs). Sistemas sobre a gestão de Vanderlei Caetano.|,|7|,|16|
|95|,|46|,|113|,|1175|,|0|,|3056|,|3056|,|2007-07-12|,|OS011 – Refactoring / Redesign do Website e Administração|,|10|,|0|
|96|,|2|,|102|,|1202|,|542|,|2912|,|2868.32|,|2007-07-16|,|Parcela 1 de 2 referente a OS 16 de desenvolvimento e implantação de upgrade na versão 2.0 do sisconDJ MT.|,|10|,|16|
|97|,|2|,|102|,|1202|,|543|,|1700|,|1674.5|,|2007-07-16|,|Parcela referente a manutenção do mês de junho-julho/2007 das funcionalidades existentes no SisconDJ instalado no TJMT.|,|0|,|16|
|98|,|7031|,|149|,|425|,|544|,|1700|,|1296.69|,|2007-07-16|,|Parcela referente a manutenção do mês de junho-julho/2007 das funcionalidades existentes no SisconDJ instalado no TJAM.|,|0|,|16|
|99|,|7046|,|263|,|1147|,|551|,|3650|,|3595.25|,|2007-07-17|,|Parcela 2 de 4 referente a OS 001 de transposição do fonte java do site atual Zion para o novo site desenvolvido pela Click.|,|14|,|21|
|100|,|7047|,|264|,|1150|,|552|,|2880.73|,|2837.52|,|2007-07-23|,|Parcela 02 de 05. referente a OS 001 que contempla Refactoring e Redesign do Website Chevrolet Nova e dos cinco Hotsites de frotistas mantidos pelo grupo (Citiclub. CIMEB. Central do Hoteleiro. Novartis e Unilever).|,|14|,|21|
|101|,|7050|,|275|,|1195|,|0|,|630|,|630|,|2007-07-25|,|Banco de 150 horas para a empresa Sina Enxovais. Parcela 1/10|,|15|,|0|
|102|,|6949|,|262|,|1143|,|554|,|58200|,|54620.7|,|2007-07-30|,|Desenvolvimento e implantação das seguintes tarefas/funcionalidades:



- Ferramenta PEX - sistema de automação (15.000.00)

- Manutenção corretiva (12 meses) (13.200.00)

- Manutenção evolutiva (500 horas) (30.000.00)



código do fornecedor: 3024729

Nº do pedido: 4500331026

data de emissão do pedido: 15/06/2007|,|5|,|16|
|103|,|3|,|175|,|291|,|555|,|10069.3|,|9450|,|2007-08-01|,|Referente a 180 horas do mês de julho de 2007 de alocação do recurso Francisco Ogatha em análise/desenvolvimento de sistemas java.|,|10|,|16|
